index,date,duration,item,network,network_type
49,20/10/14 13:56,6,call,landline,landline
50,20/10/14 18:14,5,call,Tesco,mobile
51,20/10/14 18:24,131,call,Vodafone,mobile
52,20/10/14 19:59,1,sms,Vodafone,mobile
53,20/10/14 20:16,1,sms,Vodafone,mobile
54,21/10/14 06:58,34.429,data,data,data
55,21/10/14 16:17,550,call,Three,mobile
56,22/10/14 06:58,34.429,data,data,data
57,22/10/14 12:04,7,call,Three,mobile
58,23/10/14 06:58,34.429,data,data,data
59,23/10/14 08:34,1940,call,landline,landline
60,23/10/14 09:45,281,call,Meteor,mobile
61,23/10/14 10:46,1,sms,Tesco,mobile
62,23/10/14 10:54,1,sms,Vodafone,mobile
63,23/10/14 11:17,1,sms,Vodafone,mobile
64,23/10/14 11:25,24,call,Vodafone,mobile
65,23/10/14 17:48,263,call,Meteor,mobile
66,24/10/14 06:58,34.429,data,data,data
67,24/10/14 13:35,1,sms,Vodafone,mobile
68,24/10/14 13:39,1,sms,Vodafone,mobile
69,24/10/14 13:39,1,sms,Vodafone,mobile
70,24/10/14 13:47,1,sms,Vodafone,mobile
71,24/10/14 13:48,1,sms,Vodafone,mobile
72,24/10/14 13:50,1,sms,Vodafone,mobile
73,24/10/14 13:57,1,sms,Vodafone,mobile
74,24/10/14 13:57,1,sms,Vodafone,mobile
75,24/10/14 14:20,1,sms,Three,mobile
76,24/10/14 14:27,1,sms,Vodafone,mobile
77,24/10/14 18:29,1,sms,Vodafone,mobile
78,24/10/14 18:33,387,call,Tesco,mobile
79,24/10/14 18:40,1,sms,Vodafone,mobile
80,25/10/14 06:58,34.429,data,data,data
81,26/10/14 06:58,34.429,data,data,data
82,26/10/14 14:51,4,call,Three,mobile
83,26/10/14 21:10,637,call,Tesco,mobile
84,26/10/14 21:22,28,call,Meteor,mobile
85,26/10/14 21:38,62,call,Three,mobile
86,27/10/14 01:45,3,call,Tesco,mobile
87,27/10/14 06:58,34.429,data,data,data
88,27/10/14 11:03,146,call,Three,mobile
89,27/10/14 16:30,48,call,Three,mobile
90,27/10/14 19:20,862,call,Three,mobile
91,27/10/14 19:55,25,call,Three,mobile
92,28/10/14 06:58,34.429,data,data,data
93,28/10/14 16:39,833,call,landline,landline
94,28/10/14 20:44,206,call,Tesco,mobile
95,29/10/14 06:58,34.429,data,data,data
96,29/10/14 12:56,442,call,Vodafone,mobile
97,30/10/14 06:58,34.429,data,data,data
98,30/10/14 14:31,463,call,Vodafone,mobile
99,30/10/14 19:48,4,call,Vodafone,mobile
100,30/10/14 20:02,4,call,Meteor,mobile
101,31/10/14 06:58,34.429,data,data,data
102,31/10/14 07:46,1,sms,Vodafone,mobile
103,31/10/14 08:00,1,sms,Vodafone,mobile
104,31/10/14 13:26,5,call,Three,mobile
105,31/10/14 13:27,1234,call,Tesco,mobile
106,31/10/14 14:10,43,call,Three,mobile
107,31/10/14 18:29,1,sms,Three,mobile
108,31/10/14 18:29,1,sms,Three,mobile
109,31/10/14 18:30,483,call,Meteor,mobile
110,31/10/14 18:39,3,call,Tesco,mobile
111,1/11/2014 6:58,34.429,data,data,data
112,1/11/2014 15:13,955,call,Vodafone,mobile
113,1/11/2014 17:54,4,call,Tesco,mobile
114,2/11/2014 6:58,34.429,data,data,data
115,2/11/2014 14:34,459,call,Three,mobile
116,2/11/2014 15:44,1023,call,Three,mobile
117,2/11/2014 19:16,1025,call,Three,mobile
118,2/11/2014 21:42,169,call,Meteor,mobile
119,2/11/2014 22:55,8,call,Meteor,mobile
120,3/11/2014 6:58,34.429,data,data,data
121,3/11/2014 8:40,1,sms,special,special
122,3/11/2014 10:30,135,call,Three,mobile
123,3/11/2014 10:37,7,call,Vodafone,mobile
124,3/11/2014 10:47,37,call,Vodafone,mobile
125,3/11/2014 14:04,1,sms,Vodafone,mobile
126,3/11/2014 15:27,5,call,Three,mobile
127,3/11/2014 16:07,123,call,landline,landline
128,3/11/2014 16:10,4,call,Tesco,mobile
129,3/11/2014 17:03,90,call,Vodafone,mobile
130,3/11/2014 22:36,3,call,Tesco,mobile
131,4/11/2014 6:58,34.429,data,data,data
132,4/11/2014 11:58,1,sms,Vodafone,mobile
133,4/11/2014 11:58,1,sms,Vodafone,mobile
134,4/11/2014 13:12,1,sms,Three,mobile
135,4/11/2014 14:05,1,sms,Three,mobile
136,4/11/2014 14:26,1,call,voicemail,voicemail
137,4/11/2014 14:26,98,call,voicemail,voicemail
138,4/11/2014 16:13,1,sms,Three,mobile
139,4/11/2014 16:19,8,call,Meteor,mobile
140,4/11/2014 16:22,9,call,Meteor,mobile
141,4/11/2014 16:24,4,call,Meteor,mobile
142,4/11/2014 16:34,1,sms,Three,mobile
143,4/11/2014 16:39,1,sms,Meteor,mobile
144,4/11/2014 16:41,1,sms,Meteor,mobile
145,4/11/2014 16:45,1,sms,Three,mobile
146,4/11/2014 18:26,4,call,Tesco,mobile
147,4/11/2014 20:15,11,call,Three,mobile
148,4/11/2014 20:15,1,sms,Meteor,mobile
149,4/11/2014 20:15,1,sms,Meteor,mobile
150,4/11/2014 20:16,166,call,Meteor,mobile
151,5/11/2014 6:58,34.429,data,data,data
152,5/11/2014 10:59,55,call,Three,mobile
153,5/11/2014 11:30,1,sms,Vodafone,mobile
154,5/11/2014 11:43,1,sms,Vodafone,mobile
155,5/11/2014 12:43,1,sms,Vodafone,mobile
156,5/11/2014 19:35,29,call,Vodafone,mobile
157,6/11/2014 1:02,1,sms,Vodafone,mobile
158,6/11/2014 1:02,1,sms,Vodafone,mobile
159,6/11/2014 6:58,34.429,data,data,data
160,6/11/2014 9:04,1,sms,Vodafone,mobile
161,6/11/2014 9:05,1,sms,Vodafone,mobile
162,6/11/2014 9:47,150,call,Vodafone,mobile
163,6/11/2014 9:50,89,call,Three,mobile
164,6/11/2014 9:52,75,call,Meteor,mobile
165,6/11/2014 9:54,5,call,Three,mobile
166,6/11/2014 11:47,8,call,Vodafone,mobile
167,6/11/2014 14:52,1,sms,Vodafone,mobile
168,6/11/2014 18:02,279,call,Tesco,mobile
169,6/11/2014 18:07,452,call,Vodafone,mobile
170,7/11/2014 6:58,34.429,data,data,data
171,7/11/2014 9:33,1205,call,Vodafone,mobile
172,7/11/2014 17:51,218,call,Three,mobile
173,7/11/2014 21:04,1,sms,Vodafone,mobile
174,7/11/2014 21:10,1,sms,Vodafone,mobile
175,7/11/2014 21:12,1,sms,Vodafone,mobile
176,7/11/2014 21:12,1,sms,Vodafone,mobile
177,7/11/2014 21:19,1,sms,Vodafone,mobile
178,7/11/2014 21:25,1,sms,Vodafone,mobile
179,7/11/2014 21:31,1,sms,Vodafone,mobile
180,7/11/2014 21:31,1,sms,Vodafone,mobile
181,7/11/2014 22:04,1,sms,Vodafone,mobile
182,8/11/2014 6:58,34.429,data,data,data
183,8/11/2014 16:33,41,call,Three,mobile
184,8/11/2014 18:18,6,call,Tesco,mobile
185,9/11/2014 1:41,1,sms,Three,mobile
186,9/11/2014 1:49,1,sms,Three,mobile
187,9/11/2014 1:50,1,sms,Three,mobile
188,9/11/2014 2:04,1,sms,Three,mobile
189,9/11/2014 6:58,34.429,data,data,data
190,9/11/2014 19:21,14,call,Tesco,mobile
191,9/11/2014 22:09,3,call,Three,mobile
192,10/11/2014 6:58,34.429,data,data,data
193,10/11/2014 9:29,178,call,Vodafone,mobile
194,10/11/2014 11:36,412,call,Three,mobile
195,10/11/2014 14:59,13,call,Three,mobile
196,10/11/2014 15:15,459,call,Three,mobile
197,10/11/2014 18:19,1,sms,Three,mobile
198,10/11/2014 18:34,1,sms,Three,mobile
199,11/11/2014 6:58,34.429,data,data,data
200,11/11/2014 9:28,3,call,Vodafone,mobile
201,11/11/2014 11:32,3,call,Vodafone,mobile
202,11/11/2014 11:37,1,sms,Three,mobile
203,11/11/2014 12:39,36,call,Three,mobile
204,11/11/2014 14:13,1,sms,Meteor,mobile
205,11/11/2014 14:20,1,sms,Meteor,mobile
206,11/11/2014 14:41,1,sms,Meteor,mobile
207,11/11/2014 19:56,1,sms,Three,mobile
208,12/11/2014 6:58,34.429,data,data,data
209,12/11/2014 10:48,1,sms,Vodafone,mobile
210,12/11/2014 10:48,1,sms,Three,mobile
211,12/11/2014 10:48,1,sms,Vodafone,mobile
212,12/11/2014 10:49,1,sms,Three,mobile
213,12/11/2014 12:04,1,sms,Three,mobile
214,12/11/2014 13:49,1,sms,Vodafone,mobile
215,12/11/2014 16:16,1,sms,Vodafone,mobile
216,12/11/2014 16:19,4,call,landline,landline
217,12/11/2014 16:42,1,sms,Vodafone,mobile
218,12/11/2014 16:42,1,sms,Vodafone,mobile
219,12/11/2014 17:14,1,sms,Vodafone,mobile
220,12/11/2014 17:14,1,sms,Vodafone,mobile
221,12/11/2014 17:49,1,sms,Three,mobile
222,12/11/2014 17:56,145,call,Three,mobile
223,12/11/2014 17:59,1001,call,Three,mobile
224,12/11/2014 19:01,7,call,Vodafone,mobile
225,12/11/2014 19:18,1,sms,Three,mobile
226,12/11/2014 19:18,1,sms,Three,mobile
227,12/11/2014 19:20,1,sms,Vodafone,mobile
228,13/11/14 06:58,34.429,data,data,data
229,13/11/14 22:30,1,sms,Three,mobile
230,13/11/14 22:31,1,sms,Vodafone,mobile
231,14/11/14 06:58,34.429,data,data,data
232,14/11/14 17:24,124,call,voicemail,voicemail
233,14/11/14 17:28,1,sms,Vodafone,mobile
234,15/11/14 06:58,34.429,data,data,data
235,16/11/14 06:58,34.429,data,data,data
236,16/11/14 14:05,4,call,Vodafone,mobile
237,17/11/14 06:58,34.429,data,data,data
238,18/11/14 06:58,34.429,data,data,data
239,18/11/14 08:22,1,sms,Vodafone,mobile
240,18/11/14 08:29,1,sms,Vodafone,mobile
241,18/11/14 08:29,1,sms,Vodafone,mobile
242,18/11/14 08:33,1,sms,Vodafone,mobile
243,18/11/14 08:34,1,sms,Vodafone,mobile
244,18/11/14 08:34,1,sms,Vodafone,mobile
245,18/11/14 08:39,1,sms,Vodafone,mobile
246,18/11/14 08:42,1,sms,Vodafone,mobile
247,18/11/14 08:45,1,sms,Vodafone,mobile
248,18/11/14 09:35,1,sms,Vodafone,mobile
249,19/11/14 06:58,34.429,data,data,data
250,19/11/14 14:05,128,call,Tesco,mobile
251,19/11/14 14:11,249,call,Meteor,mobile
252,19/11/14 18:56,2120,call,Three,mobile
253,19/11/14 22:48,1,sms,Vodafone,mobile
254,20/11/14 06:58,34.429,data,data,data
255,20/11/14 14:57,71,call,voicemail,voicemail
256,20/11/14 14:59,56,call,Three,mobile
257,20/11/14 16:22,1,sms,Meteor,mobile
258,20/11/14 19:08,9,call,Three,mobile
259,20/11/14 21:03,3,call,Three,mobile
260,20/11/14 21:03,3,call,Three,mobile
261,21/11/14 00:17,17,call,Tesco,mobile
262,21/11/14 01:13,1,sms,Vodafone,mobile
263,21/11/14 06:58,34.429,data,data,data
264,21/11/14 10:29,1,sms,Meteor,mobile
265,21/11/14 10:29,1,sms,Meteor,mobile
266,21/11/14 10:30,1,sms,Meteor,mobile
267,21/11/14 11:29,8,call,landline,landline
268,21/11/14 11:31,982,call,Vodafone,mobile
269,21/11/14 11:49,11,call,landline,landline
270,21/11/14 11:50,34,call,Three,mobile
271,21/11/14 11:50,8,call,Three,mobile
272,21/11/14 13:31,600,call,Tesco,mobile
273,21/11/14 18:07,244,call,Meteor,mobile
274,22/11/14 02:10,186,call,Tesco,mobile
275,22/11/14 06:58,34.429,data,data,data
276,22/11/14 12:02,75,call,Meteor,mobile
277,22/11/14 12:10,90,call,Vodafone,mobile
278,22/11/14 14:30,13,call,Vodafone,mobile
279,22/11/14 14:33,20,call,Vodafone,mobile
280,22/11/14 14:34,2,call,Vodafone,mobile
281,23/11/14 06:58,34.429,data,data,data
282,23/11/14 13:24,208,call,Three,mobile
283,23/11/14 16:10,107,call,Three,mobile
284,23/11/14 17:36,55,call,Three,mobile
285,23/11/14 17:53,5,call,Three,mobile
286,23/11/14 17:53,20,call,Three,mobile
287,23/11/14 17:54,2,call,Three,mobile
288,24/11/14 06:58,34.429,data,data,data
289,24/11/14 09:40,1,sms,Three,mobile
290,24/11/14 12:24,4,call,Meteor,mobile
291,25/11/14 06:58,34.429,data,data,data
292,25/11/14 11:25,21,call,Vodafone,mobile
293,25/11/14 16:09,1,sms,Meteor,mobile
294,25/11/14 16:19,1,sms,Meteor,mobile
295,25/11/14 17:10,114,call,Meteor,mobile
296,25/11/14 18:06,1,sms,Meteor,mobile
297,25/11/14 18:18,81,call,Meteor,mobile
298,25/11/14 18:47,174,call,voicemail,voicemail
299,25/11/14 19:10,71,call,Tesco,mobile
300,25/11/14 19:20,40,call,Tesco,mobile
301,25/11/14 19:21,29,call,voicemail,voicemail
302,25/11/14 19:25,37,call,Tesco,mobile
303,25/11/14 19:26,63,call,voicemail,voicemail
304,25/11/14 20:39,1,sms,Three,mobile
305,26/11/14 06:58,34.429,data,data,data
306,26/11/14 07:03,14,call,Meteor,mobile
307,26/11/14 07:15,1,sms,Vodafone,mobile
308,26/11/14 07:57,1,sms,Vodafone,mobile
309,26/11/14 07:59,4,call,Three,mobile
310,26/11/14 08:00,1,sms,Vodafone,mobile
311,26/11/14 08:13,10,call,Three,mobile
312,26/11/14 08:16,3,call,Three,mobile
313,26/11/14 08:26,3,call,Three,mobile
314,26/11/14 08:27,3,call,Three,mobile
315,26/11/14 09:01,1,sms,Meteor,mobile
316,26/11/14 11:53,1,sms,Meteor,mobile
317,26/11/14 11:54,1,sms,Meteor,mobile
318,26/11/14 11:54,1,sms,Meteor,mobile
319,26/11/14 11:56,1,sms,Meteor,mobile
320,26/11/14 17:48,3,call,Three,mobile
321,27/11/14 06:58,34.429,data,data,data
322,27/11/14 16:53,1116,call,Three,mobile
323,27/11/14 18:38,1,sms,Three,mobile
324,28/11/14 06:58,34.429,data,data,data
325,28/11/14 13:05,1,sms,Three,mobile
326,28/11/14 13:12,1,sms,Three,mobile
327,28/11/14 19:03,143,call,Tesco,mobile
328,29/11/14 06:58,34.429,data,data,data
329,29/11/14 14:44,151,call,Three,mobile
330,30/11/14 06:58,34.429,data,data,data
331,30/11/14 11:45,1,sms,Three,mobile
332,30/11/14 11:48,1,sms,Three,mobile
333,30/11/14 11:48,1,sms,Three,mobile
334,30/11/14 12:06,1,sms,Three,mobile
335,30/11/14 14:24,1,sms,Three,mobile
336,30/11/14 14:44,1,sms,Three,mobile
337,30/11/14 14:51,4,call,Three,mobile
338,1/12/2014 6:58,34.429,data,data,data
339,1/12/2014 12:51,1,sms,Three,mobile
340,1/12/2014 12:59,1,sms,Three,mobile
341,2/12/2014 6:58,34.429,data,data,data
342,2/12/2014 11:40,526,call,Meteor,mobile
343,3/12/2014 6:58,34.429,data,data,data
344,3/12/2014 15:01,844,call,landline,landline
345,3/12/2014 18:10,383,call,Tesco,mobile
346,4/12/2014 6:58,34.429,data,data,data
347,4/12/2014 13:52,6,call,Vodafone,mobile
348,4/12/2014 15:34,37,call,Three,mobile
349,4/12/2014 16:02,15,call,Meteor,mobile
350,4/12/2014 23:41,71,call,voicemail,voicemail
351,5/12/2014 6:58,34.429,data,data,data
352,5/12/2014 16:49,465,call,landline,landline
353,5/12/2014 18:17,153,call,Tesco,mobile
354,5/12/2014 18:25,826,call,Three,mobile
355,6/12/2014 6:58,34.429,data,data,data
356,6/12/2014 11:33,442,call,Meteor,mobile
357,6/12/2014 18:25,1,sms,Vodafone,mobile
358,6/12/2014 18:26,1,sms,Tesco,mobile
359,6/12/2014 18:26,1,sms,Vodafone,mobile
360,6/12/2014 18:27,1,sms,world,world
361,6/12/2014 18:28,1,sms,world,world
362,6/12/2014 19:40,191,call,Meteor,mobile
363,7/12/2014 6:58,34.429,data,data,data
364,7/12/2014 13:03,99,call,voicemail,voicemail
365,7/12/2014 13:45,428,call,Three,mobile
366,7/12/2014 14:39,3,call,Three,mobile
367,7/12/2014 20:23,727,call,Three,mobile
368,7/12/2014 20:36,33,call,Tesco,mobile
369,7/12/2014 20:37,120,call,Three,mobile
370,7/12/2014 23:22,1,sms,world,world
371,7/12/2014 23:22,1,sms,world,world
372,8/12/2014 6:58,34.429,data,data,data
373,8/12/2014 17:38,55,call,Meteor,mobile
374,9/12/2014 6:58,34.429,data,data,data
375,9/12/2014 18:32,28,call,Tesco,mobile
376,10/12/2014 6:58,34.429,data,data,data
377,11/12/2014 6:58,34.429,data,data,data
378,12/12/2014 6:58,34.429,data,data,data
379,12/12/2014 11:00,112,call,Vodafone,mobile
380,12/12/2014 18:14,52,call,Vodafone,mobile
381,13/12/14 06:58,34.429,data,data,data
382,13/12/14 14:56,223,call,Three,mobile
383,14/12/14 02:05,14,call,landline,landline
384,14/12/14 02:07,8,call,landline,landline
385,14/12/14 02:09,74,call,landline,landline
386,14/12/14 06:58,34.429,data,data,data
387,14/12/14 15:28,59,call,voicemail,voicemail
388,14/12/14 19:54,25,call,Three,mobile
389,15/12/14 06:58,34.429,data,data,data
390,15/12/14 19:56,1,sms,Three,mobile
391,15/12/14 19:58,1,sms,Three,mobile
392,15/12/14 20:03,4,call,Three,mobile
393,15/12/14 20:10,1,sms,Vodafone,mobile
394,15/12/14 20:10,1,sms,Three,mobile
395,15/12/14 23:12,1,sms,Three,mobile
396,16/12/14 06:58,34.429,data,data,data
397,17/12/14 06:58,34.429,data,data,data
398,17/12/14 18:08,1859,call,Vodafone,mobile
399,17/12/14 23:26,1,sms,Vodafone,mobile
400,18/12/14 06:58,34.429,data,data,data
401,18/12/14 12:36,61,call,Three,mobile
402,18/12/14 15:46,268,call,Meteor,mobile
403,18/12/14 15:57,192,call,Meteor,mobile
404,18/12/14 16:10,14,call,Meteor,mobile
405,18/12/14 17:54,17,call,Three,mobile
406,18/12/14 19:05,46,call,Tesco,mobile
407,18/12/14 21:58,4,call,Meteor,mobile
408,18/12/14 21:59,4,call,Meteor,mobile
409,19/12/14 06:58,34.429,data,data,data
410,19/12/14 08:57,1,sms,Vodafone,mobile
411,19/12/14 10:14,41,call,Three,mobile
412,19/12/14 12:40,3,call,Three,mobile
413,19/12/14 12:41,217,call,Tesco,mobile
414,19/12/14 12:41,18,call,Three,mobile
415,19/12/14 14:48,58,call,Meteor,mobile
416,19/12/14 16:49,48,call,Tesco,mobile
417,19/12/14 16:51,543,call,Tesco,mobile
418,19/12/14 17:00,131,call,Three,mobile
419,19/12/14 18:44,1,sms,Vodafone,mobile
420,20/12/14 06:58,34.429,data,data,data
421,20/12/14 14:39,1,sms,Tesco,mobile
422,20/12/14 15:20,1,sms,Tesco,mobile
423,20/12/14 15:53,553,call,Meteor,mobile
424,20/12/14 16:09,1,sms,Tesco,mobile
425,21/12/14 00:05,54,call,Meteor,mobile
426,21/12/14 06:58,34.429,data,data,data
427,22/12/14 06:58,34.429,data,data,data
428,22/12/14 10:42,489,call,Tesco,mobile
429,22/12/14 11:22,1,sms,Vodafone,mobile
430,22/12/14 11:22,1,sms,Meteor,mobile
431,22/12/14 13:33,46,call,Vodafone,mobile
432,22/12/14 14:09,1,sms,Vodafone,mobile
433,22/12/14 14:15,47,call,Vodafone,mobile
434,22/12/14 18:03,1,sms,Vodafone,mobile
435,22/12/14 18:03,1,sms,Vodafone,mobile
436,22/12/14 18:03,1,sms,Vodafone,mobile
437,22/12/14 19:10,1,sms,Vodafone,mobile
438,22/12/14 19:12,566,call,Tesco,mobile
439,22/12/14 19:35,1,sms,Meteor,mobile
440,22/12/14 19:36,1,sms,Meteor,mobile
441,22/12/14 23:12,956,call,Three,mobile
442,23/12/14 00:57,55,call,Tesco,mobile
443,23/12/14 06:58,34.429,data,data,data
444,23/12/14 09:17,145,call,voicemail,voicemail
445,23/12/14 11:03,40,call,landline,landline
446,23/12/14 12:49,449,call,Three,mobile
447,23/12/14 15:39,1,sms,Vodafone,mobile
448,23/12/14 15:40,37,call,landline,landline
449,23/12/14 15:43,1,sms,Vodafone,mobile
450,23/12/14 19:45,39,call,voicemail,voicemail
451,23/12/14 20:02,28,call,landline,landline
452,23/12/14 21:06,1,sms,Vodafone,mobile
453,24/12/14 06:58,34.429,data,data,data
454,24/12/14 13:22,4,call,Three,mobile
455,24/12/14 13:29,234,call,Tesco,mobile
456,24/12/14 13:56,165,call,Three,mobile
457,24/12/14 13:56,3,call,Three,mobile
458,24/12/14 17:06,1,sms,Vodafone,mobile
459,24/12/14 17:07,37,call,Vodafone,mobile
460,24/12/14 18:44,5,call,Meteor,mobile
461,24/12/14 20:44,4,call,Meteor,mobile
462,24/12/14 23:34,1,sms,Three,mobile
463,25/12/14 06:58,34.429,data,data,data
464,25/12/14 12:27,1,sms,Vodafone,mobile
465,26/12/14 06:58,34.429,data,data,data
466,26/12/14 11:09,101,call,voicemail,voicemail
467,26/12/14 11:48,1,sms,Vodafone,mobile
468,27/12/14 06:58,34.429,data,data,data
469,27/12/14 22:30,1,sms,Meteor,mobile
470,27/12/14 22:30,1,sms,Meteor,mobile
471,27/12/14 22:30,1,sms,Meteor,mobile
472,27/12/14 22:30,1,sms,Meteor,mobile
473,28/12/14 06:58,34.429,data,data,data
474,29/12/14 06:58,34.429,data,data,data
