,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
20,21,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,,São Paulo,Brazil,,16,10,1998,Friday
21,22,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,,New Orleans,Louisiana,U.S.,8,1,1999,Friday
22,23,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,,Bay St. Louis,Mississippi,U.S.,5,3,1999,Friday
23,24,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,,Birmingham,Alabama,U.S.,7,5,1999,Friday
24,25,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,,Cedar Rapids,Iowa,U.S.,16,7,1999,Friday
25,26,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,,Lake Charles,Louisiana,U.S.,24,9,1999,Friday
26,27,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,,Chiba,Japan,,19,11,1999,Friday
27,28,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,,Lake Charles,Louisiana,U.S.,10,3,2000,Friday
28,29,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,,Tokyo,Japan,,14,4,2000,Friday
29,30,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,1100.0,Cedar Rapids,Iowa,U.S.,9,6,2000,Friday
30,31,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,,New Orleans,Louisiana,U.S.,22,9,2000,Friday
31,32,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,,Atlantic City,New Jersey,U.S.,17,11,2000,Friday
32,33,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,1414.0,Tokyo,Japan,,16,12,2000,Saturday
33,34,UFC 30: Battle on the Boardwalk,2001-02-23,Trump Taj Mahal,3000.0,Atlantic City,New Jersey,U.S.,23,2,2001,Friday
34,35,UFC 31: Locked and Loaded,2001-05-04,Trump Taj Mahal,,Atlantic City,New Jersey,U.S.,4,5,2001,Friday
35,36,UFC 32: Showdown in the Meadowlands,2001-06-29,Continental Airlines Arena,12500.0,East Rutherford,New Jersey,U.S.,29,6,2001,Friday
36,37,UFC 33: Victory in Vegas,2001-09-28,Mandalay Bay Events Center,9500.0,Las Vegas,Nevada,U.S.,28,9,2001,Friday
37,38,UFC 34: High Voltage,2001-11-02,MGM Grand Garden Arena,9000.0,Las Vegas,Nevada,U.S.,2,11,2001,Friday
38,39,UFC 35: Throwdown,2002-01-11,Mohegan Sun Arena,9600.0,Uncasville,Connecticut,U.S.,11,1,2002,Friday
39,40,UFC 36: Worlds Collide,2002-03-22,MGM Grand Garden Arena,10000.0,Las Vegas,Nevada,U.S.,22,3,2002,Friday
40,41,UFC 37: High Impact,2002-05-10,CenturyTel Center,7200.0,Bossier City,Louisiana,U.S.,10,5,2002,Friday
41,42,UFC 37.5: As Real As It Gets,2002-06-22,Bellagio,3700.0,Las Vegas,Nevada,U.S.,22,6,2002,Saturday
42,43,UFC 38: Brawl at the Hall,2002-07-13,Royal Albert Hall,5000.0,London,England,U.K.,13,7,2002,Saturday
43,44,UFC 39: The Warriors Return,2002-09-27,Mohegan Sun Arena,7800.0,Uncasville,Connecticut,U.S.,27,9,2002,Friday
44,45,UFC 40: Vendetta,2002-11-22,MGM Grand Garden Arena,13770.0,Las Vegas,Nevada,U.S.,22,11,2002,Friday
45,46,UFC 41: Onslaught,2003-02-28,Boardwalk Hall,11707.0,Atlantic City,New Jersey,U.S.,28,2,2003,Friday
46,47,UFC 42: Sudden Impact,2003-04-25,AmericanAirlines Arena,7500.0,Miami,Florida,U.S.,25,4,2003,Friday
47,48,UFC 43: Meltdown,2003-06-06,Thomas & Mack Center,9800.0,Las Vegas,Nevada,U.S.,6,6,2003,Friday
48,49,UFC 44: Undisputed,2003-09-26,Mandalay Bay Events Center,10400.0,Las Vegas,Nevada,U.S.,26,9,2003,Friday
49,50,UFC 45: Revolution,2003-11-21,Mohegan Sun Arena,9200.0,Uncasville,Connecticut,U.S.,21,11,2003,Friday
50,51,UFC 46: Supernatural,2004-01-31,Mandalay Bay Events Center,10700.0,Las Vegas,Nevada,U.S.,31,1,2004,Saturday
51,52,UFC 47: It's On!,2004-04-02,Mandalay Bay Events Center,11437.0,Las Vegas,Nevada,U.S.,2,4,2004,Friday
52,53,UFC 48: Payback,2004-06-19,Mandalay Bay Events Center,10000.0,Las Vegas,Nevada,U.S.,19,6,2004,Saturday
53,54,UFC 49: Unfinished Business,2004-08-21,MGM Grand Garden Arena,12100.0,Las Vegas,Nevada,U.S.,21,8,2004,Saturday
54,55,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,9000.0,Atlantic City,New Jersey,U.S.,22,10,2004,Friday
55,56,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,11072.0,Las Vegas,Nevada,U.S.,5,2,2005,Saturday
56,57,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,,Las Vegas,Nevada,U.S.,9,4,2005,Saturday
57,58,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,14562.0,Las Vegas,Nevada,U.S.,16,4,2005,Saturday
58,59,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,12000.0,Atlantic City,New Jersey,U.S.,4,6,2005,Saturday
59,60,UFC Ultimate Fight Night,2005-08-06,Cox Pavilion,,Las Vegas,Nevada,U.S.,6,8,2005,Saturday
60,61,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,13520.0,Las Vegas,Nevada,U.S.,20,8,2005,Saturday
61,62,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,,Las Vegas,Nevada,U.S.,3,10,2005,Monday
62,63,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,8000.0,Uncasville,Connecticut,U.S.,7,10,2005,Friday
63,64,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,,Las Vegas,Nevada,U.S.,5,11,2005,Saturday
64,65,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,12000.0,Las Vegas,Nevada,U.S.,19,11,2005,Saturday
65,66,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,1008.0,Las Vegas,Nevada,U.S.,16,1,2006,Monday
66,67,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,10659.0,Las Vegas,Nevada,U.S.,4,2,2006,Saturday
67,68,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,9569.0,Las Vegas,Nevada,U.S.,4,3,2006,Saturday
68,69,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,843.0,Las Vegas,Nevada,U.S.,6,4,2006,Thursday
69,70,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,13814.0,Anaheim,California,U.S.,15,4,2006,Saturday
70,71,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,14765.0,Los Angeles,California,U.S.,27,5,2006,Saturday
71,72,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,Hard Rock Hotel and Casino,849.0,Las Vegas,Nevada,U.S.,24,6,2006,Saturday
72,73,UFC Ultimate Fight Night 5,2006-06-28,Hard Rock Hotel and Casino,606.0,Las Vegas,Nevada,U.S.,28,6,2006,Wednesday
73,74,UFC 61: Bitter Rivals,2006-07-08,Mandalay Bay Events Center,11167.0,Las Vegas,Nevada,U.S.,8,7,2006,Saturday
74,75,UFC Fight Night 6,2006-08-17,Red Rock Resort Spa and Casino,1412.0,Summerlin,Nevada,U.S.,17,8,2006,Thursday
75,76,UFC 62: Liddell vs. Sobral,2006-08-26,Mandalay Bay Events Center,10503.0,Las Vegas,Nevada,U.S.,26,8,2006,Saturday
76,77,UFC 63: Hughes vs. Penn,2006-09-23,Arrowhead Pond of Anaheim,12604.0,Anaheim,California,U.S.,23,9,2006,Saturday
77,78,UFC Fight Night 6.5,2006-10-10,Seminole Hard Rock Hotel and Casino,3510.0,Hollywood,Florida,U.S.,10,10,2006,Tuesday
78,79,UFC 64: Unstoppable,2006-10-14,Mandalay Bay Events Center,10173.0,Las Vegas,Nevada,U.S.,14,10,2006,Saturday
79,80,The Ultimate Fighter: The Comeback Finale,2006-11-11,Hard Rock Hotel and Casino,1000.0,Las Vegas,Nevada,U.S.,11,11,2006,Saturday
80,81,UFC 65: Bad Intentions,2006-11-18,ARCO Arena,14666.0,Sacramento,California,U.S.,18,11,2006,Saturday
81,82,UFC Fight Night: Sanchez vs. Riggs,2006-12-13,Marine Corps Air Station Miramar,3000.0,San Diego,California,U.S.,13,12,2006,Wednesday
82,83,UFC 66: Liddell vs. Ortiz,2006-12-30,MGM Grand Garden Arena,13671.0,Las Vegas,Nevada,U.S.,30,12,2006,Saturday
83,84,UFC Fight Night: Evans vs. Salmon,2007-01-25,Seminole Hard Rock Hotel and Casino,5287.0,Hollywood,Florida,U.S.,25,1,2007,Thursday
84,85,UFC 67: All or Nothing,2007-02-03,Mandalay Bay Events Center,10787.0,Las Vegas,Nevada,U.S.,3,2,2007,Saturday
85,86,UFC 68: The Uprising,2007-03-03,Nationwide Arena,19079.0,Columbus,Ohio,U.S.,3,3,2007,Saturday
86,87,UFC Fight Night: Stevenson vs. Guillard,2007-04-05,Palms Casino Resort,1734.0,Las Vegas,Nevada,U.S.,5,4,2007,Thursday
87,88,UFC 69: Shootout,2007-04-07,Toyota Center,15269.0,Houston,Texas,U.S.,7,4,2007,Saturday
88,89,UFC 70: Nations Collide,2007-04-21,Manchester Evening News Arena,15114.0,Manchester,England,U.K.,21,4,2007,Saturday
89,90,UFC 71: Liddell vs. Jackson,2007-05-26,MGM Grand Garden Arena,14728.0,Las Vegas,Nevada,U.S.,26,5,2007,Saturday
90,91,UFC Fight Night: Stout vs. Fisher,2007-06-12,Seminole Hard Rock Hotel and Casino,,Hollywood,Florida,U.S.,12,6,2007,Tuesday
91,92,UFC 72: Victory,2007-06-16,The Odyssey,7850.0,Belfast,Northern Ireland,U.K.,16,6,2007,Saturday
92,93,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,,Las Vegas,Nevada,U.S.,23,6,2007,Saturday
93,94,UFC 73: Stacked,2007-07-07,ARCO Arena,13183.0,Sacramento,California,U.S.,7,7,2007,Saturday
94,95,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,11065.0,Las Vegas,Nevada,U.S.,25,8,2007,Saturday
95,96,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,16235.0,London,England,U.K.,8,9,2007,Saturday
96,97,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,,Las Vegas,Nevada,U.S.,19,9,2007,Wednesday
97,98,UFC 76: Knockout,2007-09-22,Honda Center,13770.0,Anaheim,California,U.S.,22,9,2007,Saturday
98,99,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,16054.0,Cincinnati,Ohio,U.S.,20,10,2007,Saturday
99,100,UFC 78: Validation,2007-11-17,Prudential Center,14071.0,Newark,New Jersey,U.S.,17,11,2007,Saturday
100,101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,,Las Vegas,Nevada,U.S.,8,12,2007,Saturday
101,102,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,11075.0,Las Vegas,Nevada,U.S.,29,12,2007,Saturday
102,103,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,8412.0,Newcastle upon Tyne,England,U.K.,19,1,2008,Saturday
103,104,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,1900.0,Las Vegas,Nevada,U.S.,23,1,2008,Wednesday
104,105,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,10583.0,Las Vegas,Nevada,U.S.,2,2,2008,Saturday
105,106,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,16431.0,Columbus,Ohio,U.S.,1,3,2008,Saturday
106,107,UFC Fight Night: Florian vs. Lauzon,2008-04-02,Broomfield Event Center,6742.0,Broomfield,Colorado,U.S.,2,4,2008,Wednesday
107,108,UFC 83: Serra vs. St-Pierre 2,2008-04-19,Bell Centre,21390.0,Montreal,Quebec,Canada,19,4,2008,Saturday
108,109,UFC 84: Ill Will,2008-05-24,MGM Grand Garden Arena,14773.0,Las Vegas,Nevada,U.S.,24,5,2008,Saturday
109,110,UFC 85: Bedlam,2008-06-07,The O2 arena,15327.0,London,England,U.K.,7,6,2008,Saturday
110,111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2008-06-21,Palms Casino Resort,1853.0,Las Vegas,Nevada,U.S.,21,6,2008,Saturday
111,112,UFC 86: Jackson vs. Griffin,2008-07-05,Mandalay Bay Events Center,10990.0,Las Vegas,Nevada,U.S.,5,7,2008,Saturday
112,113,UFC Fight Night: Silva vs. Irvin,2008-07-19,Palms Casino Resort,2071.0,Las Vegas,Nevada,U.S.,19,7,2008,Saturday
113,114,UFC 87: Seek and Destroy,2008-08-09,Target Center,15087.0,Minneapolis,Minnesota,U.S.,9,8,2008,Saturday
114,115,UFC 88: Breakthrough,2008-09-06,Philips Arena,14736.0,Atlanta,Georgia,U.S.,6,9,2008,Saturday
115,116,UFC Fight Night: Diaz vs. Neer,2008-09-17,Omaha Civic Auditorium,9103.0,Omaha,Nebraska,U.S.,17,9,2008,Wednesday
116,117,UFC 89: Bisping vs. Leben,2008-10-18,National Indoor Arena,9515.0,Birmingham,England,U.K.,18,10,2008,Saturday
117,118,UFC 90: Silva vs. Côté,2008-10-25,Allstate Arena,15359.0,Rosemont,Illinois,U.S.,25,10,2008,Saturday
118,119,UFC 91: Couture vs. Lesnar,2008-11-15,MGM Grand Garden Arena,14272.0,Las Vegas,Nevada,U.S.,15,11,2008,Saturday
119,120,UFC: Fight for the Troops,2008-12-10,Crown Coliseum,8500.0,Fayetteville,North Carolina,U.S.,10,12,2008,Wednesday
120,121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2008-12-13,Palms Casino Resort,1853.0,Las Vegas,Nevada,U.S.,13,12,2008,Saturday
121,122,UFC 92: The Ultimate 2008,2008-12-27,MGM Grand Garden Arena,14166.0,Las Vegas,Nevada,U.S.,27,12,2008,Saturday
122,123,UFC 93: Franklin vs. Henderson,2009-01-17,The O2,9369.0,Dublin,Ireland,,17,1,2009,Saturday
123,124,UFC 94: St-Pierre vs. Penn 2,2009-01-31,MGM Grand Garden Arena,14885.0,Las Vegas,Nevada,U.S.,31,1,2009,Saturday
124,125,UFC Fight Night: Lauzon vs. Stephens,2009-02-07,USF Sun Dome,7596.0,Tampa,Florida,U.S.,7,2,2009,Saturday
125,126,UFC 95: Sanchez vs. Stevenson,2009-02-21,The O2 arena,13268.0,London,England,U.K.,21,2,2009,Saturday
126,127,UFC 96: Jackson vs. Jardine,2009-03-07,Nationwide Arena,17033.0,Columbus,Ohio,U.S.,7,3,2009,Saturday
127,128,UFC Fight Night: Condit vs. Kampmann,2009-04-01,Sommet Center,10267.0,Nashville,Tennessee,U.S.,1,4,2009,Wednesday
128,129,UFC 97: Redemption,2009-04-18,Bell Centre,21451.0,Montreal,Quebec,Canada,18,4,2009,Saturday
129,130,UFC 98: Evans vs. Machida,2009-05-23,MGM Grand Garden Arena,12606.0,Las Vegas,Nevada,U.S.,23,5,2009,Saturday
130,131,UFC 99: The Comeback,2009-06-13,Lanxess Arena,12854.0,Cologne,Germany,,13,6,2009,Saturday
131,132,The Ultimate Fighter: United States vs. United Kingdom Finale,2009-06-20,Palms Casino Resort,2217.0,Las Vegas,Nevada,U.S.,20,6,2009,Saturday
132,133,UFC 100,2009-07-11,Mandalay Bay Events Center,10871.0,Las Vegas,Nevada,U.S.,11,7,2009,Saturday
133,134,UFC 101: Declaration,2009-08-08,Wachovia Center,17411.0,Philadelphia,Pennsylvania,U.S.,8,8,2009,Saturday
134,135,UFC 102: Couture vs. Nogueira,2009-08-29,Rose Garden,16088.0,Portland,Oregon,U.S.,29,8,2009,Saturday
135,136,UFC Fight Night: Diaz vs. Guillard,2009-09-16,Cox Convention Center,9490.0,Oklahoma City,Oklahoma,U.S.,16,9,2009,Wednesday
136,137,UFC 103: Franklin vs. Belfort,2009-09-19,American Airlines Center,17428.0,Dallas,Texas,U.S.,19,9,2009,Saturday
137,138,UFC 104: Machida vs. Shogun,2009-10-24,Staples Center,14892.0,Los Angeles,California,U.S.,24,10,2009,Saturday
138,139,UFC 105: Couture vs. Vera,2009-11-14,Manchester Evening News Arena,16693.0,Manchester,England,U.K.,14,11,2009,Saturday
139,140,UFC 106: Ortiz vs. Griffin 2,2009-11-21,Mandalay Bay Events Center,10529.0,Las Vegas,Nevada,U.S.,21,11,2009,Saturday
140,141,The Ultimate Fighter: Heavyweights Finale,2009-12-05,Palms Casino Resort,1791.0,Las Vegas,Nevada,U.S.,5,12,2009,Saturday
141,142,UFC 107: Penn vs. Sanchez,2009-12-12,FedExForum,13896.0,Memphis,Tennessee,U.S.,12,12,2009,Saturday
142,143,UFC 108: Evans vs. Silva,2010-01-02,MGM Grand Garden Arena,13529.0,Las Vegas,Nevada,U.S.,2,1,2010,Saturday
143,144,UFC Fight Night: Maynard vs. Diaz,2010-01-11,Patriot Center,8078.0,Fairfax,Virginia,U.S.,11,1,2010,Monday
144,145,UFC 109: Relentless,2010-02-06,Mandalay Bay Events Center,10753.0,Las Vegas,Nevada,U.S.,6,2,2010,Saturday
145,146,UFC 110: Nogueira vs. Velasquez,2010-02-21,Acer Arena,17831.0,Sydney,Australia,,21,2,2010,Sunday
146,147,UFC Live: Vera vs. Jones,2010-03-21,1stBank Center,6443.0,Broomfield,Colorado,U.S.,21,3,2010,Sunday
147,148,UFC 111: St-Pierre vs. Hardy,2010-03-27,Prudential Center,17000.0,Newark,New Jersey,U.S.,27,3,2010,Saturday
148,149,UFC Fight Night: Florian vs. Gomi,2010-03-31,Bojangles Coliseum,7700.0,Charlotte,North Carolina,U.S.,31,3,2010,Wednesday
149,150,UFC 112: Invincible,2010-04-10,"Concert Arena, Yas Island",11008.0,Abu Dhabi,United Arab Emirates,,10,4,2010,Saturday
150,151,UFC 113: Machida vs. Shogun 2,2010-05-08,Bell Centre,17647.0,Montreal,Quebec,Canada,8,5,2010,Saturday
151,152,UFC 114: Rampage vs. Evans,2010-05-29,MGM Grand Garden Arena,14996.0,Las Vegas,Nevada,U.S.,29,5,2010,Saturday
152,153,UFC 115: Liddell vs. Franklin,2010-06-12,General Motors Place,17669.0,Vancouver,British Columbia,Canada,12,6,2010,Saturday
153,154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2010-06-19,Palms Casino Resort,1708.0,Las Vegas,Nevada,U.S.,19,6,2010,Saturday
154,155,UFC 116: Lesnar vs. Carwin,2010-07-03,MGM Grand Garden Arena,12740.0,Las Vegas,Nevada,U.S.,3,7,2010,Saturday
155,156,UFC Live: Jones vs. Matyushenko,2010-08-01,San Diego Sports Arena,8132.0,San Diego,California,U.S.,1,8,2010,Sunday
156,157,UFC 117: Silva vs. Sonnen,2010-08-07,Oracle Arena,12971.0,Oakland,California,U.S.,7,8,2010,Saturday
157,158,UFC 118: Edgar vs. Penn 2,2010-08-28,TD Garden,14168.0,Boston,Massachusetts,U.S.,28,8,2010,Saturday
158,159,UFC Fight Night: Marquardt vs. Palhares,2010-09-15,Frank Erwin Center,7724.0,Austin,Texas,U.S.,15,9,2010,Wednesday
159,160,UFC 119: Mir vs. Cro Cop,2010-09-25,Conseco Fieldhouse,15811.0,Indianapolis,Indiana,U.S.,25,9,2010,Saturday
160,161,UFC 120: Bisping vs. Akiyama,2010-10-16,The O2 arena,17133.0,London,England,U.K.,16,10,2010,Saturday
161,162,UFC 121: Lesnar vs. Velasquez,2010-10-23,Honda Center,14856.0,Anaheim,California,U.S.,23,10,2010,Saturday
162,163,UFC 122: Marquardt vs. Okami,2010-11-13,König Pilsener Arena,8421.0,Oberhausen,Germany,,13,11,2010,Saturday
163,164,UFC 123: Rampage vs. Machida,2010-11-20,The Palace of Auburn Hills,16404.0,Auburn Hills,Michigan,U.S.,20,11,2010,Saturday
164,165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2010-12-04,Palms Casino Resort,1903.0,Las Vegas,Nevada,U.S.,4,12,2010,Saturday
165,166,UFC 124: St-Pierre vs. Koscheck 2,2010-12-11,Bell Centre,23152.0,Montreal,Quebec,Canada,11,12,2010,Saturday
166,167,UFC 125: Resolution,2011-01-01,MGM Grand Garden Arena,12874.0,Las Vegas,Nevada,U.S.,1,1,2011,Saturday
167,168,UFC: Fight for the Troops 2,2011-01-22,Fort Hood,3200.0,Fort Hood,Texas,U.S.,22,1,2011,Saturday
168,169,UFC 126: Silva vs. Belfort,2011-02-05,Mandalay Bay Events Center,10893.0,Las Vegas,Nevada,U.S.,5,2,2011,Saturday
169,170,UFC 127: Penn vs. Fitch,2011-02-27,Acer Arena,18186.0,Sydney,Australia,,27,2,2011,Sunday
170,171,UFC Live: Sanchez vs. Kampmann,2011-03-03,KFC Yum! Center,8319.0,Louisville,Kentucky,U.S.,3,3,2011,Thursday
171,172,UFC 128: Shogun vs. Jones,2011-03-19,Prudential Center,12619.0,Newark,New Jersey,U.S.,19,3,2011,Saturday
172,173,UFC Fight Night: Nogueira vs. Davis,2011-03-26,KeyArena,13741.0,Seattle,Washington,U.S.,26,3,2011,Saturday
173,174,UFC 129: St-Pierre vs. Shields,2011-04-30,Rogers Centre,55724.0,Toronto,Ontario,Canada,30,4,2011,Saturday
174,175,UFC 130: Rampage vs. Hamill,2011-05-28,MGM Grand Garden Arena,12753.0,Las Vegas,Nevada,U.S.,28,5,2011,Saturday
175,176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2011-06-04,Palms Casino Resort,2053.0,Las Vegas,Nevada,U.S.,4,6,2011,Saturday
176,177,UFC 131: dos Santos vs. Carwin,2011-06-11,Rogers Arena,14685.0,Vancouver,British Columbia,Canada,11,6,2011,Saturday
177,178,UFC Live: Kongo vs. Barry,2011-06-26,Consol Energy Center,7792.0,Pittsburgh,Pennsylvania,U.S.,26,6,2011,Sunday
178,179,UFC 132: Cruz vs. Faber,2011-07-02,MGM Grand Garden Arena,13109.0,Las Vegas,Nevada,U.S.,2,7,2011,Saturday
179,180,UFC 133: Evans vs. Ortiz,2011-08-06,Wells Fargo Center,11583.0,Philadelphia,Pennsylvania,U.S.,6,8,2011,Saturday
180,181,UFC Live: Hardy vs. Lytle,2011-08-14,Bradley Center,6751.0,Milwaukee,Wisconsin,U.S.,14,8,2011,Sunday
181,182,UFC 134: Silva vs. Okami,2011-08-27,HSBC Arena,14000.0,Rio de Janeiro,Brazil,,27,8,2011,Saturday
182,183,UFC Fight Night: Shields vs. Ellenberger,2011-09-17,Ernest N. Morial Convention Center,7112.0,New Orleans,Louisiana,U.S.,17,9,2011,Saturday
183,184,UFC 135: Jones vs. Rampage,2011-09-24,Pepsi Center,16344.0,Denver,Colorado,U.S.,24,9,2011,Saturday
184,185,UFC Live: Cruz vs. Johnson,2011-10-01,Verizon Center,9380.0,Washington,D.C.,U.S.,1,10,2011,Saturday
185,186,UFC 136: Edgar vs. Maynard III,2011-10-08,Toyota Center,16164.0,Houston,Texas,U.S.,8,10,2011,Saturday
186,187,UFC 137: Penn vs. Diaz,2011-10-29,Mandalay Bay Events Center,10313.0,Las Vegas,Nevada,U.S.,29,10,2011,Saturday
187,188,UFC 138: Leben vs. Muñoz,2011-11-05,LG Arena,10823.0,Birmingham,England,U.K.,5,11,2011,Saturday
188,189,UFC on Fox: Velasquez vs. dos Santos,2011-11-12,Honda Center,11607.0,Anaheim,California,U.S.,12,11,2011,Saturday
189,190,UFC 139: Shogun vs. Henderson,2011-11-19,HP Pavilion,13832.0,San Jose,California,U.S.,19,11,2011,Saturday
190,191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2011-12-03,Palms Casino Resort,1909.0,Las Vegas,Nevada,U.S.,3,12,2011,Saturday
191,192,UFC 140: Jones vs. Machida,2011-12-10,Air Canada Centre,18303.0,Toronto,Ontario,Canada,10,12,2011,Saturday
192,193,UFC 141: Lesnar vs. Overeem,2011-12-30,MGM Grand Garden Arena,13793.0,Las Vegas,Nevada,U.S.,30,12,2011,Friday
193,194,UFC 142: Aldo vs. Mendes,2012-01-14,HSBC Arena,10605.0,Rio de Janeiro,Brazil,,14,1,2012,Saturday
194,195,UFC on FX: Guillard vs. Miller,2012-01-20,Bridgestone Arena,7728.0,Nashville,Tennessee,U.S.,20,1,2012,Friday
195,196,UFC on Fox: Evans vs. Davis,2012-01-28,United Center,16963.0,Chicago,Illinois,U.S.,28,1,2012,Saturday
196,197,UFC 143: Diaz vs. Condit,2012-02-04,Mandalay Bay Events Center,9015.0,Las Vegas,Nevada,U.S.,4,2,2012,Saturday
197,198,UFC on Fuel TV: Sanchez vs. Ellenberger,2012-02-15,Omaha Civic Auditorium,6283.0,Omaha,Nebraska,U.S.,15,2,2012,Wednesday
198,199,UFC 144: Edgar vs. Henderson,2012-02-26,Saitama Super Arena,21000.0,Saitama,Japan,,26,2,2012,Sunday
199,200,UFC on FX: Alves vs. Kampmann,2012-03-03,Allphones Arena,14537.0,Sydney,Australia,,3,3,2012,Saturday
200,201,UFC on Fuel TV: Gustafsson vs. Silva,2012-04-14,Ericsson Globe Arena,15428.0,Stockholm,Sweden,,14,4,2012,Saturday
201,202,UFC 145: Jones vs. Evans,2012-04-21,Philips Arena,15545.0,Atlanta,Georgia,U.S.,21,4,2012,Saturday
202,203,UFC on Fox: Diaz vs. Miller,2012-05-05,IZOD Center,10788.0,East Rutherford,New Jersey,U.S.,5,5,2012,Saturday
203,204,UFC on Fuel TV: The Korean Zombie vs. Poirier,2012-05-15,Patriot Center,6668.0,Fairfax,Virginia,U.S.,15,5,2012,Tuesday
204,205,UFC 146: dos Santos vs. Mir,2012-05-26,MGM Grand Garden Arena,14674.0,Las Vegas,Nevada,U.S.,26,5,2012,Saturday
205,206,The Ultimate Fighter: Live Finale,2012-06-01,Palms Casino Resort,1628.0,Las Vegas,Nevada,U.S.,1,6,2012,Friday
206,207,UFC on FX: Johnson vs. McCall 2,2012-06-08,BankAtlantic Center,6635.0,Sunrise,Florida,U.S.,8,6,2012,Friday
207,208,UFC on FX: Maynard vs. Guida,2012-06-22,Revel Casino Hotel,4652.0,Atlantic City,New Jersey,U.S.,22,6,2012,Friday
208,209,UFC 147: Silva vs. Franklin II,2012-06-23,Mineirinho Arena,16643.0,Belo Horizonte,Brazil,,23,6,2012,Saturday
209,210,UFC 148: Silva vs. Sonnen II,2012-07-07,MGM Grand Garden Arena,15104.0,Las Vegas,Nevada,U.S.,7,7,2012,Saturday
210,211,UFC on Fuel TV: Muñoz vs. Weidman,2012-07-11,HP Pavilion,4250.0,San Jose,California,U.S.,11,7,2012,Wednesday
211,212,UFC 149: Faber vs. Barão,2012-07-21,Scotiabank Saddledome,16089.0,Calgary,Alberta,Canada,21,7,2012,Saturday
212,213,UFC on Fox: Shogun vs. Vera,2012-08-04,Staples Center,16080.0,Los Angeles,California,U.S.,4,8,2012,Saturday
213,214,UFC 150: Henderson vs. Edgar II,2012-08-11,Pepsi Center,13027.0,Denver,Colorado,U.S.,11,8,2012,Saturday
214,215,UFC 152: Jones vs. Belfort,2012-09-22,Air Canada Centre,16800.0,Toronto,Ontario,Canada,22,9,2012,Saturday
215,216,UFC on Fuel TV: Struve vs. Miocic,2012-09-29,Capital FM Arena,7241.0,Nottingham,England,U.K.,29,9,2012,Saturday
