,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
507,508,UFC 247: Jones vs. Reyes,2020-02-08,Toyota Center,17401.0,Houston,Texas,U.S.,8,2,2020,Saturday
508,509,UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15,Santa Ana Star Center,6449.0,Rio Rancho,New Mexico,U.S.,15,2,2020,Saturday
509,510,UFC Fight Night: Felder vs. Hooker,2020-02-23,Spark Arena,10025.0,Auckland,New Zealand,,23,2,2020,Sunday
510,511,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Chartway Arena,7098.0,Norfolk,Virginia,U.S.,29,2,2020,Saturday
511,512,UFC 248: Adesanya vs. Romero,2020-03-07,T-Mobile Arena,15077.0,Las Vegas,Nevada,U.S.,7,3,2020,Saturday
512,513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Ginásio Nilson Nelson,0.0,Brasília,Brazil,,14,3,2020,Saturday
513,514,UFC 249: Ferguson vs. Gaethje,2020-05-09,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,9,5,2020,Saturday
514,515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,13,5,2020,Wednesday
515,516,UFC on ESPN: Overeem vs. Harris,2020-05-16,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,16,5,2020,Saturday
516,517,UFC on ESPN: Woodley vs. Burns,2020-05-30,UFC Apex,0.0,Las Vegas,Nevada,U.S.,30,5,2020,Saturday
517,518,UFC 250: Nunes vs. Spencer,2020-06-06,UFC Apex,0.0,Las Vegas,Nevada,U.S.,6,6,2020,Saturday
518,519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,UFC Apex,0.0,Las Vegas,Nevada,U.S.,13,6,2020,Saturday
519,520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,UFC Apex,0.0,Las Vegas,Nevada,U.S.,20,6,2020,Saturday
520,521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,0.0,Las Vegas,Nevada,U.S.,27,6,2020,Saturday
521,522,UFC 251: Usman vs. Masvidal,2020-07-12,du Forum,0.0,Abu Dhabi,United Arab Emirates,,12,7,2020,Sunday
522,523,UFC on ESPN: Kattar vs. Ige,2020-07-16,du Forum,0.0,Abu Dhabi,United Arab Emirates,,16,7,2020,Thursday
523,524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,du Forum,0.0,Abu Dhabi,United Arab Emirates,,19,7,2020,Sunday
524,525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,0.0,Abu Dhabi,United Arab Emirates,,26,7,2020,Sunday
525,526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,UFC Apex,0.0,Las Vegas,Nevada,U.S.,1,8,2020,Saturday
526,527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,UFC Apex,0.0,Las Vegas,Nevada,U.S.,8,8,2020,Saturday
527,528,UFC 252: Miocic vs. Cormier 3,2020-08-15,UFC Apex,0.0,Las Vegas,Nevada,U.S.,15,8,2020,Saturday
528,529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,UFC Apex,0.0,Las Vegas,Nevada,U.S.,22,8,2020,Saturday
529,530,UFC Fight Night: Smith vs. Rakić,2020-08-29,UFC Apex,0.0,Las Vegas,Nevada,U.S.,29,8,2020,Saturday
530,531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,UFC Apex,0.0,Las Vegas,Nevada,U.S.,5,9,2020,Saturday
